1,INSTEON,Family of INSTEON Devices,0,Controllers,0,CONTROLINC 2430
1,INSTEON,Family of INSTEON Devices,0,Controllers,5,ICON REMOTELINC 2843
1,INSTEON,Family of INSTEON Devices,0,Controllers,6,ICON TABLETOP 2830
1,INSTEON,Family of INSTEON Devices,0,Controllers,9,SIGNALINC 2442
1,INSTEON,Family of INSTEON Devices,0,Controllers,10,POOLUX LCD CONTROLLER
1,INSTEON,Family of INSTEON Devices,0,Controllers,11,ACCESSPOINT
1,INSTEON,Family of INSTEON Devices,0,Controllers,12,IES COLOR TOUCHSCREEN
1,INSTEON,Family of INSTEON Devices,0,Controllers,16,REMOTE LINC 2 KEYPAD 4
1,INSTEON,Family of INSTEON Devices,0,Controllers,17,REMOTE LINC 2 SWITCH
1,INSTEON,Family of INSTEON Devices,0,Controllers,18,REMOTE LINC 2 KEYPAD 8
1,INSTEON,Family of INSTEON Devices,1,Dimmable Devices,0,LAMPLINC V2 2456D3
1,INSTEON,Family of INSTEON Devices,1,Dimmable Devices,1,SWITCHLINC V2 DIMMER 2476D
1,INSTEON,Family of INSTEON Devices,1,Dimmable Devices,2,INLINE DIMMABLE
1,INSTEON,Family of INSTEON Devices,1,Dimmable Devices,3,ICON SWITCH DIMMER 2876D3
1,INSTEON,Family of INSTEON Devices,1,Dimmable Devices,4,SWITCHLINK V2 DIMMER 2476DH
1,INSTEON,Family of INSTEON Devices,1,Dimmable Devices,5,KEYPADLINC TIMER 2484DWH8
1,INSTEON,Family of INSTEON Devices,1,Dimmable Devices,6,LAMPLINC 2 PIN
1,INSTEON,Family of INSTEON Devices,1,Dimmable Devices,7,ICON LAMPLINC V2 2 PIN 2456D2
1,INSTEON,Family of INSTEON Devices,1,Dimmable Devices,9,KEYPADLINC DIMMER 2486D
1,INSTEON,Family of INSTEON Devices,1,Dimmable Devices,10,ICON INWALL CONTROLLER 2886D
1,INSTEON,Family of INSTEON Devices,1,Dimmable Devices,11,LAMPLINC BI PHY
1,INSTEON,Family of INSTEON Devices,1,Dimmable Devices,12,KEYPADLINC DIMMER 2486DWH8
1,INSTEON,Family of INSTEON Devices,1,Dimmable Devices,13,SOCKETLINC 2454D
